# word,quad,pos,reformed
# Reformed by script using Examples/oxford.yaml and Examples/non-oxford.yaml

word,quad,pos,reformed
booth,-,-,booth
border,1,noun,border
borderline,1,adjective,borderline
bore,2,verb,bore
bore,3,noun,bore
bored,-,-,bored
boredom,-,-,boredom
boring,-,-,boring
born,1,verb,born
borrow,-,-,borro
boss,1,noun,boss
bossy,-,-,bossy
both,1,determiner predeterminer pron,boath
bother,1,verb,boddher
bottle,1,noun,bottle
bottom,1,noun,bottom
bottom,2,adjective,bottom
bounce,1,verb,bounce
bound,2,adjective,bound
boundary,-,-,boundary
bouquet,-,-,bouquet
bout,-,-,bout
boutique,1,noun,boutique
bow,1,verb,[bow, bo]
bow,2,noun,[bow, bo]
bowel,-,-,bowel
bowl,1,noun,boal
bowling,-,-,bowling
box,1,noun,box
box,2,verb,box
boxer,-,-,boxer
boxer,-,noun,boxer
boxing,-,-,boxing
boy,1,noun,boy
boycott,1,verb,boycott
boycott,2,noun,boycott
boyfriend,-,-,boyfrend
bra,-,-,bra
bracelet,-,-,bracelet
bracket,1,noun,bracket
brag,-,-,brag
brain,1,noun,brain
brainstorm,1,noun,brainstorm
brainwave,-,-,brainwave
brainy,-,-,brainy
brake,1,noun,brake
brake,2,verb,brake
branch,1,noun,branch
brand,1,noun,brand
brand,2,verb,brand
brand-new,-,-,brand-new
brass,-,-,brass
brave,1,adjective,brave
bravery,-,-,bravery
breach,1,noun,breach
breach,2,verb,breach
bread,-,-,bred
breadth,-,-,breadth
break,1,verb,brake
break,2,noun,brake
breakdown,-,-,brake-down
breakfast,-,-,brake-fast
breakthrough,-,-,brake-through
breast,1,noun,breast
breath,-,-,breth
breathe,-,-,breathe
breathing,-,-,breathing
breed,1,verb,breed
breed,2,noun,breed
breeze,1,noun,breeze
brew,1,verb,brew
brewery,-,-,brewery
bribe,1,verb,bribe
bribe,2,noun,bribe
bribery,-,-,bribery
brick,1,noun,brick
bride,-,-,bride
bridegroom,-,-,bridegroom
bridesmaid,-,-,bridesmaid
bridge,1,noun,bridge
bridge,2,verb,bridge
brief,1,adjective,breef
brief,2,noun,breef
brief,3,verb,breef
briefcase,-,-,briefcase
briefing,-,-,briefing
briefly,-,-,briefly
bright,-,-,bright
brilliant,-,-,brilliant
bring,-,-,bring
brink,-,-,brink
brisk,-,-,brisk
broad,1,adjective,braud
broadband,-,-,braud-band
broadcast,1,noun,braudcast
broadcast,2,verb,braudcast
broaden,-,-,broaden
broadly,-,-,brawdly
brochure,-,-,brochure
broken,2,adjective,broken
broker,1,noun,broker
bronze,1,noun,bronze
bronze,2,adjective,bronze
broom,-,-,broom
brother,1,noun,bruddher
brother-in-law,-,-,brother-in-law
brow,-,-,brow
brown,1,adjective,brown
brown,2,noun,brown
browse,-,-,brose
browser,-,-,browser
bruise,1,noun,bruise
bruise,2,verb,bruise
brunch,-,-,brunch
brush,1,noun,brush
brush,2,verb,brush
brutal,-,-,brutal
bubble,1,noun,bubble
bucket,1,noun,bucket
bud,1,noun,bud
budget,1,noun,budget
buffet,1,noun,buffet
bug,1,noun,bug
build,1,verb,bild
build,2,noun,bild
builder,-,-,builder
building,-,-,building
built-in,-,-,built-in
bulb,-,-,bulb
bulk,1,noun,bulk
bull,1,noun,bull
bullet,-,-,bullet
bulletin,-,-,bulletin
bully,1,noun,bully
bully,2,verb,bully
bum,1,noun,bum
bump,1,verb,bump
bump,2,noun,bump
bumpy,-,-,bumpy
